NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
57.9 246832 0.0211155
58 246832 0.0212321
58.1 246832 0.0219213
58.2 246832 0.0219213
58.3 246837 0.0229381
58.4 246837 0.0229381
58.5 246845 0.0240117
58.6 246845 0.0240117
58.7 246851 0.024856
58.8 246855 0.0251847
58.9 246855 0.0251847
59 246855 0.0247569
59.1 246855 0.0247569
59.2 246855 0.0234285
59.3 246855 0.0234285
59.4 246855 0.0211402
59.5 246855 0.0211402
59.6 246855 0.0179244
59.7 246855 0.0138957
59.8 246855 0.0138957
59.9 246855 0.00923287
60 246855 0.00923287
60.1 246855 0.00415491
60.2 246855 0.00415491
60.3 246855 -0.0011078
60.4 246855 -0.00634205
60.5 246855 -0.00634205
60.6 246855 -0.0113771
60.7 246855 -0.0113771
60.8 246855 -0.0161034
60.9 246855 -0.0161034
61 246855 -0.0204828
61.1 246855 -0.0245477
61.2 246855 -0.0245477
61.3 246855 -0.0283879
61.4 246855 -0.0283879
61.5 246855 -0.032128
61.6 246855 -0.032128
61.7 246855 -0.0358962
61.8 246855 -0.0397894
61.9 246855 -0.0397894
62 246855 -0.0438432
62.1 246855 -0.0438432
62.2 246855 -0.0480155
62.3 246855 -0.0480155
62.4 246855 -0.0521892
62.5 246855 -0.0561916
62.6 246855 -0.0561916
62.7 246855 -0.0598253
62.8 246855 -0.0598253
62.9 246855 -0.0629
63 246855 -0.0629
63.1 246855 -0.0652594
63.2 246855 -0.0667994
63.3 246855 -0.0667994
63.4 246855 -0.0674792
63.5 246855 -0.0674792
63.6 246855 -0.0673254
63.7 246855 -0.0673254
63.8 246855 -0.0664324
63.9 246855 -0.0649584
64 246855 -0.0649584
64.1 246855 -0.0631164
64.2 246855 -0.0631164
64.3 246855 -0.0611573
64.4 246855 -0.0611573
64.5 246855 -0.0593446
64.6 246855 -0.0579227
64.7 246855 -0.0579227
64.8 246855 -0.0570834
64.9 246855 -0.0570834
65 246855 -0.0569364
65.1 246855 -0.0569364
65.2 246855 -0.0574915
65.3 246855 -0.0574915
65.4 246855 -0.0586555
65.5 246855 -0.0602475
65.6 246855 -0.0602475
65.7 246855 -0.0620293
65.8 246855 -0.0620293
65.9 246855 -0.0637457
66 246855 -0.0637457
66.1 246855 -0.0651663
66.2 246855 -0.0661222
66.3 246855 -0.0661222
66.4 246855 -0.0665308
66.5 246855 -0.0665308
66.6 246855 -0.0664044
66.7 246855 -0.0664044
66.8 246855 -0.065842
66.9 246855 -0.0650069
67 246855 -0.0650069
67.1 246855 -0.064095
67.2 246855 -0.064095
67.3 246855 -0.0633003
67.4 246855 -0.0633003
67.5 246855 -0.062784
67.6 246855 -0.0626515
67.7 246855 -0.0626515
67.8 246855 -0.0629388
67.9 246855 -0.0629388
68 246855 -0.0636091
68.1 246855 -0.0636091
68.2 246855 -0.0645595
68.3 246855 -0.065636
68.4 246855 -0.065636
68.5 246855 -0.066656
68.6 246855 -0.066656
68.7 246855 -0.0674326
68.8 246855 -0.0674326
68.9 246855 -0.0677988
69 246855 -0.0676268
69.1 246855 -0.0676268
69.2 246855 -0.0668403
69.3 246855 -0.0668403
69.4 246855 -0.065419
69.5 246855 -0.065419
69.6 246855 -0.0633967
69.7 246855 -0.0608549
69.8 246855 -0.0608549
69.9 246855 -0.057915
70 246855 -0.057915
70.1 246855 -0.0547327
70.2 246855 -0.0547327
70.3 246855 -0.0514929
70.4 246855 -0.0514929
70.5 246855 -0.0484044
70.6 246855 -0.0456935
70.7 246855 -0.0456935
70.8 246855 -0.0435927
70.9 246855 -0.0435927
71 246855 -0.0423255
71.1 246855 -0.0423255
71.2 246855 -0.0420886
71.3 246855 -0.0430318
71.4 246855 -0.0430318
71.5 246855 -0.0452391
71.6 246855 -0.0452391
71.7 246855 -0.0487134
71.8 246855 -0.0487134
71.9 246855 -0.0533689
72 246855 -0.0590322
72.1 246855 -0.0590322
72.2 246855 -0.0654561
72.3 246855 -0.0654561
72.4 246855 -0.0723464
72.5 246855 -0.0723464
72.6 246855 -0.0793978
72.7 246855 -0.0863314
72.8 246855 -0.0863314
72.9 246855 -0.0929264
73 246855 -0.0929264
73.1 246855 -0.0990379
73.2 246855 -0.0990379
73.3 246853 -0.104598
73.4 246847 -0.109613
73.5 246847 -0.109613
73.6 246841 -0.114146
73.7 246841 -0.114146
73.8 246837 -0.118275
73.9 246837 -0.118275
74 246834 -0.122077
74.1 246833 -0.125616
74.2 246833 -0.125616
74.3 246832 -0.128932
74.4 246832 -0.128932
74.5 246832 -0.132016
74.6 246832 -0.132016
74.7 246832 -0.134817
74.8 246832 -0.137247
74.9 246832 -0.137247
75 246832 -0.139191
75.1 246832 -0.139191
75.2 246832 -0.140523
75.3 246832 -0.140523
75.4 246832 -0.141118
75.5 246832 -0.140856
75.6 246832 -0.140856
75.7 246832 -0.139632
75.8 246832 -0.139632
75.9 246832 -0.137353
76 246832 -0.137353
76.1 246832 -0.133955
76.2 246832 -0.133955
76.3 246832 -0.129401
76.4 246837 -0.123702
76.5 246837 -0.123702
76.6 246845 -0.116902
76.7 246845 -0.116902
76.8 246852 -0.109101
76.9 246852 -0.109101
77 246855 -0.100447
77.1 246855 -0.0911254
77.2 246855 -0.0911254
77.3 246855 -0.0813457
77.4 246855 -0.0813457
77.5 246850 -0.0713351
77.6 246850 -0.0713351
77.7 246843 -0.0613296
77.8 246836 -0.051556
77.9 246836 -0.051556
78 246832 -0.0422204
78.1 246832 -0.0422204
78.2 246832 -0.0334986
78.3 246832 -0.0334986
78.4 246832 -0.0255366
78.5 246832 -0.0184465
78.6 246832 -0.0184465
78.7 246832 -0.0123131
78.8 246832 -0.0123131
78.9 246832 -0.0072014
79 246832 -0.0072014
79.1 246832 -0.00316406
79.2 246832 -0.000243679
79.3 246832 -0.000243679
79.4 246832 0.00153153
79.5 246832 0.00153153
79.6 246832 0.0021575
79.7 246832 0.0021575
79.8 246832 0.00166594
79.9 246832 0.000133367
80 246832 0.000133367
80.1 246832 -0.00231657
80.2 246832 -0.00231657
80.3 246832 -0.00551885
80.4 246832 -0.00551885
80.5 246832 -0.00927877
80.6 246832 -0.0133862
80.7 246832 -0.0133862
80.8 246832 -0.01763
80.9 246832 -0.01763
81 246832 -0.02181
81.1 246832 -0.02181
81.2 246832 -0.0257458
81.3 246832 -0.0292841
81.4 246832 -0.0292841
81.5 246832 -0.0323057
81.6 246832 -0.0323057
81.7 246832 -0.034732
81.8 246832 -0.034732
81.9 246832 -0.0365313
82 246832 -0.0365313
82.1 246832 -0.037721
82.2 246832 -0.0383675
82.3 246832 -0.0383675
82.4 246832 -0.0385795
82.5 246832 -0.0385795
82.6 246832 -0.0384974
82.7 246832 -0.0384974
82.8 246832 -0.0382793
82.9 246832 -0.0380848
83 246832 -0.0380848
83.1 246832 -0.0380598
83.2 246832 -0.0380598
83.3 246832 -0.0383244
83.4 246832 -0.0383244
83.5 246832 -0.0389653
83.6 246832 -0.0400317
83.7 246832 -0.0400317
83.8 246832 -0.0415348
83.9 246832 -0.0415348
84 246832 -0.0434506
84.1 246832 -0.0434506
84.2 246832 -0.0457238
84.3 246832 -0.0482733
84.4 246832 -0.0482733
84.5 246832 -0.0509983
84.6 246832 -0.0509983
84.7 246832 -0.053785
84.8 246832 -0.053785
84.9 246832 -0.056514
85 246832 -0.059069
85.1 246832 -0.059069
85.2 246832 -0.0613479
85.3 246832 -0.0613479
85.4 246832 -0.063275
85.5 246832 -0.063275
85.6 246832 -0.0648103
85.7 246832 -0.0659519
85.8 246832 -0.0659519
85.9 246832 -0.0667285
86 246832 -0.0667285
86.1 246832 -0.0671849
86.2 246832 -0.0671849
86.3 246832 -0.0673619
86.4 246832 -0.0672783
86.5 246832 -0.0672783
86.6 246832 -0.0669182
86.7 246832 -0.0669182
86.8 246832 -0.0662281
86.9 246832 -0.0662281
87 246832 -0.0651258
87.1 246832 -0.0635161
87.2 246832 -0.0635161
87.3 246832 -0.0613114
87.4 246832 -0.0613114
87.5 246832 -0.0584479
87.6 246832 -0.0584479
87.7 246832 -0.0548973
87.8 246832 -0.0548973
87.9 246832 -0.0506699
88 246832 -0.0458145
88.1 246832 -0.0458145
88.2 246832 -0.0404147
88.3 246832 -0.0404147
88.4 246832 -0.0345832
88.5 246832 -0.0345832
88.6 246832 -0.028455
88.7 246832 -0.0221801
88.8 246832 -0.0221801
88.9 246832 -0.0159142
89 246832 -0.0159142
89.1 246832 -0.00980924
89.2 246832 -0.00980924
89.3 246832 -0.00400372
89.4 246832 0.00138421
89.5 246832 0.00138421
89.6 246832 0.00625912
89.7 246832 0.00625912
89.8 246832 0.0105468
89.9 246832 0.0105468
90 246832 0.0141909
90.1 246832 0.0171511
90.2 246832 0.0171511
90.3 246832 0.0194034
90.4 246832 0.0194034
90.5 246832 0.0209425
90.6 246832 0.0209425
90.7 246832 0.0217807
90.8 246832 0.0219443
90.9 246832 0.0219443
91 246832 0.0214668
91.1 246832 0.0214668
91.2 246832 0.0203824
91.3 246832 0.0203824
91.4 246832 0.0187244
91.5 246832 0.0165288
91.6 246832 0.0165288
91.7 246832 0.0138429
91.8 246832 0.0138429
91.9 246832 0.0107333
92 246832 0.0107333
92.1 246832 0.00729042
92.2 246832 0.00362622
92.3 246832 0.00362622
92.4 246832 -0.000133727
92.5 246832 -0.000133727
92.6 246832 -0.00386182
92.7 246832 -0.00386182
92.8 246832 -0.00744064
92.9 246832 -0.00744064
93 246832 -0.0107755
93.1 246832 -0.0138073
93.2 246832 -0.0138073
93.3 246832 -0.0165253
93.4 246832 -0.0165253
93.5 246832 -0.0189765
93.6 246832 -0.0189765
93.7 246832 -0.0212676
93.8 246832 -0.0235556
93.9 246832 -0.0235556
94 246832 -0.026024
94.1 246832 -0.026024
94.2 246832 -0.0288495
94.3 246832 -0.0288495
94.4 246832 -0.0321642
94.5 246832 -0.0360222
94.6 246832 -0.0360222
94.7 246832 -0.0403781
94.8 246832 -0.0403781
94.9 246832 -0.0450838
95 246832 -0.0450838
95.1 246832 -0.0499083
95.2 246832 -0.0545742
95.3 246832 -0.0545742
95.4 246832 -0.058804
95.5 246832 -0.058804
95.6 246832 -0.0623631
95.7 246832 -0.0623631
95.8 246832 -0.0650917
95.9 246832 -0.0669187
96 246832 -0.0669187
96.1 246832 -0.0678599
96.2 246832 -0.0678599
96.3 246832 -0.0680039
96.4 246832 -0.0680039
96.5 246832 -0.0674906
96.6 246832 -0.0664877
96.7 246832 -0.0664877
96.8 246832 -0.0651658
96.9 246832 -0.0651658
97 246832 -0.0636777
97.1 246832 -0.0636777
97.2 246832 -0.0621413
97.3 246832 -0.0606298
97.4 246832 -0.0606298
97.5 246832 -0.0591708
97.6 246832 -0.0591708
97.7 246832 -0.0577524
97.8 246832 -0.0577524
97.9 246832 -0.056336
98 246832 -0.0548709
98.1 246832 -0.0548709
98.2 246832 -0.0533084
98.3 246832 -0.0533084
98.4 246832 -0.0516128
98.5 246832 -0.0516128
98.6 246832 -0.0497657
98.7 246832 -0.0497657
98.8 246832 -0.0477653
98.9 246832 -0.0456225
99 246832 -0.0456225
99.1 246832 -0.0433568
99.2 246832 -0.0433568
99.3 246832 -0.0409924
99.4 246832 -0.0409924
99.5 246832 -0.0385575
99.6 246832 -0.0360835
99.7 246832 -0.0360835
99.8 246832 -0.0336043
99.9 246832 -0.0336043
100 246832 -0.0311542
100.1 246832 -0.0311542
100.2 246832 -0.028763
100.3 246832 -0.0264503
100.4 246832 -0.0264503
100.5 246832 -0.0242195
100.6 246832 -0.0242195
100.7 246832 -0.0220563
100.8 246832 -0.0220563
100.9 246832 -0.0199314
101 246832 -0.0178086
101.1 246832 -0.0178086
101.2 246832 -0.0156564
101.3 246832 -0.0156564
101.4 246832 -0.0134601
101.5 246832 -0.0134601
101.6 246832 -0.0112284
101.7 246832 -0.00899597
101.8 246832 -0.00899597
101.9 246832 -0.00681883
102 246832 -0.00681883
102.1 246832 -0.00476669
102.2 246832 -0.00476669
102.3 246832 -0.00291588
102.4 246832 -0.00134537
102.5 246832 -0.00134537
102.6 246832 -0.00013618
